id,name,is_manufacturer
1,"BEBIG TRADE, INC.",1
2,RADIOLOGY SOLUTIONS LLC,1
3,BIOTRONICS INSTRUMENTS,1
4,"MEDICAL PARK CO., LTD",1
5,"UNOMED, INC.",1
6,"BIOCOR MEDICAL, INC.",1
7,"WIRELESS MONITORS, INC.",1
8,INFAB CORP.,1
9,"TOMY, INC.",1
10,"SYNAPSYS, INC.",1
11,"ROFIL MEDICAL USA, INC.",1
12,"HONGZE PLASTIC TECHNOLOGY CO., LTD",1
13,ANGELINE GROUP LTD.,1
14,SURGICAD CORP.,1
15,"MEDICOTEST, INC.",1
16,PALMBASE RUBBER MFG. (M) SDN BHD,1
17,CANTEBURY SCIENTIFIC LTD.,1
18,"MEDICAL PLASTICS LABORATORY, INC.",1
19,TRANS1 INCORPORATED,1
20,"SPINAL ACOUSTICS, LLC",1
21,OLYMPUS,1
22,DIAGNOSTICA-STAGO,1
23,"MEDIVENTURES, INC.",1
24,ELAMEDICAL,1
25,"BASIC INTL., INC.",1
26,BIOMET MICROFIXATION,1
27,ZEPPELIN GMBH,1
28,INMARK CORP.,1
29,MCKENNA & CUNEO,1
30,"MATHESON GAS PRODUCTS, INC.",1
31,"NEWAVE MEDICAL, INC.",1
32,"ADVANCED BRAIN MONITORING, INC.",1
33,XTRAK MEDICAL INC.,1
34,STEINHART MEDIZINSYSTEME GMBH,1
35,"CARDIOSTREAM, LLC",1
36,"V.V.T. HEALTHCARE TECHNOLOGIES, INC.",1
37,"SALUMEDICA, L.L.C.",1
38,"MARBEX, INC.",1
39,MALLINCKRODT MEDICAL,1
40,"SPIESS DESIGN, INC.",1
41,TRILLIANT SURGICAL LTD,1
42,CATALINA BIOMEDICAL CORP.,1
43,"ZIBO YUE FAN MEDICAL PRODUCTS CO, LTD.",1
44,"SIMPLICITY ORTHOPEDIC SOLUTIONS, LLC",1
45,"YERIM ENGINEERING CO., LTD.",1
46,"Hudson Kendale Assoc., Inc.",1
47,TECSA TECHNICAL SERVICES,1
48,GMC INC.,1
49,YAN LING RUBBER PRODUCTS CO.,1
50,"FITBIT, INC.",1
51,NATUS MEDICAL INCORPORATED,1
52,"ALM SURGICAL EQUIPMENT, INC.",1
53,VALOREM SURGICAL,1
54,CARDIAC SCIENCE CORPORATION,1
