id,device_id,predicate_id
1,K162955,K101749
2,K162955,K111336
3,K000066,K982222
4,K000207,K953694
5,K000207,K931641
6,K000253,K915856
7,K000253,K981034
8,K000306,K983014
9,K000335,K945115
10,K000486,K990005
11,K000486,K974885
12,K000486,K982798
13,K000486,K974706
14,K000486,K993855
15,K000515,K980817
16,K000663,K973543
17,K000666,K923277
18,K000682,K961413
19,K000682,K963172
20,K000717,K991500
21,K000788,K913231
22,K000788,K954935
23,K000795,K943177
24,K000944,K984552
25,K000944,K981033
26,K000944,K981870
27,K001003,K903382
28,K001010,K936274
29,K001080,K984350
30,K001080,K992738
31,K001080,K951846
32,K001080,K992792
33,K001080,K980484
34,K001166,K944065
35,K001166,K923076
36,K001330,K983743
37,K001330,K992996
38,K001330,K954652
39,K001335,K961304
40,K001385,K992220
41,K001385,K982288
42,K001385,K944507
43,K001448,K971854
44,K001448,K993768
45,K001448,K983382
46,K001449,K971854
47,K001449,K983502
48,K001449,K972893
49,K001589,K972347
50,K001589,K951033
51,K001633,K913235
52,K001633,K821684
53,K001668,K992147
54,K001706,K000120
55,K001706,K920362
56,K001706,K895226
57,K001738,K973170
58,K001738,K974540
59,K001738,K970561
60,K001738,K982330
61,K001738,K992159
62,K001738,K983162
63,K001738,K993948
64,K001738,K980431
65,K001922,K970544
66,K001942,K932481
67,K001942,K982447
68,K001942,K990261
69,K001942,K990309
70,K001947,K896095
71,K001947,K973959
72,K002018,K973500
73,K002020,K982095
74,K002141,K921113
75,K002141,K990197
76,K002185,K993517
77,K002185,K990970
78,K002185,K992155
79,K002185,K940942
80,K002231,K981543
81,K002261,K925573
82,K002312,K992751
83,K002320,K936127
84,K002320,K936126
85,K002320,K933561
86,K002406,K970119
87,K002546,K970513
88,K002573,K930827
89,K002620,K984332
90,K002639,K002637
91,K002683,K920362
92,K002683,K992065
93,K002683,K982981
94,K002683,K001706
95,K002683,K915596
96,K002689,K970485
97,K002721,K922916
98,K002721,K980483
99,K002721,K980482
100,K002733,K965221
101,K002733,K982322
102,K002733,K991089
103,K002824,K994347
104,K002824,K983622
105,K002896,K000051
106,K002896,K983210
107,K002998,K991585
108,K003026,K931054
109,K003026,K991106
110,K003043,K990148
111,K003043,K841189
112,K003102,K953123
113,K003182,K870730
114,K003182,K973087
115,K003182,K933281
116,K003229,K895920
117,K003301,K925670
118,K003301,K003801
119,K003400,K981897
120,K003446,K970793
121,K003666,K992234
122,K003710,K914919
123,K003710,K972471
124,K003740,K780706
125,K003740,K992898
126,K003740,K002008
127,K003763,K984089
128,K003763,K990170
129,K003800,K953694
130,K003800,K931641
131,K003836,K990148
132,K003836,K001340
133,K003897,K945975
134,K003940,K895208
135,K003940,K974192
136,K003940,K990170
137,K003956,K003456
138,K003970,K973849
139,K003970,K003470
140,K003970,K992567
141,K003992,K972777
142,K010081,K960538
143,K010120,K993736
144,K010322,K955848
145,K010322,K813371
146,K010322,K983358
147,K010367,K001982
148,K010466,K970048
149,K010545,K951303
150,K010576,K955348
151,K010576,K981274
152,K010576,K980485
153,K010591,K971660
154,K010591,K982323
155,K010591,K954451
156,K010591,K963023
157,K010591,K003399
158,K010591,K963033
159,K010591,K961459
160,K010591,K961974
161,K010610,K970054
162,K010610,K970052
163,K010610,K970053
164,K010657,K991585
165,K010657,K003044
166,K010664,K003044
167,K010682,K953391
168,K010682,K002312
169,K010682,K993766
170,K010714,K974788
171,K010740,K961974
172,K010740,K994026
173,K010757,K936126
174,K010827,K991585
175,K010827,K003044
176,K010840,K000587
177,K010931,K002721
178,K010949,K001094
179,K010949,K990170
180,K010988,K970097
181,K010988,K002783
182,K010993,K833417
183,K011056,K990829
184,K011057,K001197
185,K011057,K970357
186,K011057,K002010
187,K011099,K943300
188,K011099,K000575
189,K011099,K992065
190,K011099,K984541
191,K011138,K971938
192,K011149,K950729
193,K011149,K950166
194,K011258,K000666
195,K011291,K983295
196,K011291,K873010
197,K011311,K940295
198,K011311,K943581
199,K011434,K972265
200,K011447,K003266
201,K011447,K984634
202,K011451,K992301
203,K011451,K953194
204,K011451,K850631
205,K011489,K001277
206,K011489,K001991
207,K011489,K980711
208,K011496,K980302
209,K011556,K002824
210,K011556,K990959
211,K011562,K000677
212,K011562,K001435
213,K011562,K001992
214,K011569,K992158
215,K011569,K982721
216,K011569,K002083
217,K011569,K983360
218,K011569,K000696
219,K011569,K003786
220,K011569,K981666
221,K011569,K982139
222,K011569,K972919
223,K011572,K982855
224,K011574,K974401
225,K011574,K950066
226,K011574,K961665
227,K011574,K973926
228,K011574,K923889
229,K011575,K993936
230,K011575,K954628
231,K011575,K983296
232,K011575,K972328
233,K011575,K993963
234,K011577,K980418
235,K011577,K992010
236,K011579,K992172
237,K011580,K010788
238,K011581,K913293
239,K011582,K993394
240,K011586,K891480
241,K011586,K945240
242,K011587,K852965
243,K011587,K940555
244,K011587,K862489
245,K011589,K970793
246,K011589,K933887
247,K011590,K982139
248,K011590,K972913
249,K011590,K993061
250,K011590,K982531
251,K011590,K955729
252,K011590,K974554
253,K011591,K011581
254,K011591,K990034
255,K011591,K920218
256,K011592,K010659
257,K011597,K892006
258,K011601,K853917
259,K011601,K983552
260,K011604,K930265
261,K011606,K000621
262,K011606,K980814
263,K011607,K001967
264,K011607,K991391
265,K011612,K991383
266,K011616,K002134
267,K011617,K983905
268,K011622,K992063
269,K011622,K982601
270,K011622,K003018
271,K011622,K010801
272,K011624,K862120
273,K011624,K973039
274,K011625,K961144
275,K011625,K001948
276,K011634,K001588
277,K011634,K000778
278,K011634,K003624
279,K011634,K001936
280,K011634,K010568
281,K011643,K974556
282,K011646,K984258
283,K011646,K964352
284,K011657,K952913
285,K011657,K953946
286,K011658,K974825
287,K011665,K001064
288,K011665,K955278
289,K011665,K964139
290,K011668,K972352
291,K011668,K952220
292,K011670,K000815
293,K011670,K002158
