id,device_id,product_code_id,is_primary
1,K760002,IQI,1
2,K760003,ITG,1
3,K760004,FMF,1
4,K760005,FMF,1
5,K760007,GKJ,1
6,K760008,DZE,1
7,K760009,CFH,1
8,K760010,CIT,1
9,K760011,CDT,1
10,K760012,BSB,1
11,K760013,DTC,1
12,K760017,BZR,1
13,K760018,GIM,1
14,K760019,GIM,1
15,K760022,GAA,1
16,K760023,JMK,1
17,K760024,CJE,1
18,K760025,JPZ,1
19,K760026,CIJ,1
20,K760027,IAF,1
21,K760028,JHT,1
22,K760029,CDT,1
23,K760030,CEO,1
24,K760031,HZT,1
25,K760032,KIN,1
26,K760033,GTZ,1
27,K760034,DEM,1
28,K760035,DCK,1
29,K760036,DHR,1
30,K760037,BTT,1
31,K760039,CBO,1
32,K760040,KTN,1
33,K760041,CAH,1
34,K760042,KOC,1
35,K760043,DHR,1
36,K760044,JLW,1
37,K760045,JJA,1
38,K760046,HPX,1
39,K760047,EYN,1
40,K760048,FCM,1
41,K760051,KDD,1
42,K760052,LDQ,1
43,K760054,JTW,1
44,K760055,CFR,1
45,K760057,CDP,1
46,K760063,JTX,1
47,K760064,KRB,1
48,K760065,KRB,1
49,K760066,DXL,1
50,K760067,KRB,1
51,K760068,DJB,1
52,K760069,KNX,1
53,K760073,LDQ,1
54,K760074,DLR,1
55,K760075,DIW,1
56,K760076,BSF,1
57,K760077,DND,1
58,K760078,CDP,1
59,K760079,CDX,1
60,K760080,CAT,1
61,K760081,CAH,1
62,K760082,CBC,1
63,K760084,HCC,1
64,K760085,FNY,1
65,K760086,GJE,1
66,K760087,DWS,1
67,K760088,CCC,1
68,K760090,DSY,1
69,K760091,DSY,1
70,K760092,DSY,1
71,K760093,GBM,1
72,K760094,NAB,1
73,K760095,CAF,1
74,K760096,GTQ,1
75,K760097,GSZ,1
76,K760098,GMT,1
77,K760102,CAX,1
78,K760103,FPA,1
79,K760104,FLS,1
80,K760105,KNX,1
81,K760106,JDG,1
82,K760107,JDG,1
83,K760108,JDG,1
84,K760109,HTR,1
85,K760110,FPA,1
86,K760111,FPA,1
87,K760112,JJQ,1
88,K760113,EFQ,1
89,K760118,FLL,1
90,K760119,JXR,1
91,K760120,DRT,1
92,K760122,EJT,1
93,K760123,KSK,1
94,K760124,GIF,1
95,K760125,BTQ,1
96,K760126,HPX,1
97,K760127,FCM,1
98,K760128,FCM,1
99,K760129,GIF,1
100,K760130,DSY,1
101,K760131,JJN,1
102,K760132,JLW,1
103,K760133,CGN,1
104,K760134,CEE,1
105,K760135,CDX,1
106,K760136,DWS,1
107,K760137,FPD,1
108,K760138,FQM,1
109,K760139,FQM,1
110,K760140,FQM,1
111,K760141,FQM,1
112,K760142,FQM,1
113,K760143,DEX,1
114,K760144,DAD,1
115,K760145,DEW,1
116,K760146,CZP,1
117,K760147,DFT,1
118,K760148,CZW,1
119,K760149,CAI,1
120,K760150,DPS,1
121,K760151,DTK,1
122,K760152,DTK,1
123,K760153,DHN,1
124,K760154,JZO,1
125,K760155,DBM,1
126,K760156,DBE,1
127,K760157,DXQ,1
128,K760158,GAP,1
129,K760159,JBX,1
130,K760160,DRT,1
131,K760161,CJR,1
132,K760162,JPK,1
133,K760163,FOZ,1
134,K760164,EYQ,1
135,K760165,CAK,1
136,K760166,HCB,1
137,K760167,BWF,1
138,K760168,GEI,1
139,K760169,CCJ,1
140,K760170,HHM,1
141,K760171,EOQ,1
142,K760172,FEC,1
143,K760173,FAM,1
144,K760174,FDC,1
145,K760175,EYX,1
146,K760176,FCW,1
147,K760177,FBP,1
148,K760178,KNS,1
149,K760179,FAJ,1
150,K760180,OCZ,1
151,K760182,FDC,1
152,K760183,FEC,1
153,K760184,FDC,1
154,K760185,HNF,1
155,K760186,HNN,1
156,K760187,HNN,1
157,K760188,HNF,1
158,K760189,FAJ,1
159,K760190,HNF,1
160,K760191,HNN,1
161,K760192,DXG,1
162,K760193,CIT,1
163,K760194,CKA,1
164,K760195,CDT,1
165,K760196,DKZ,1
166,K760197,JRI,1
167,K760198,GHR,1
168,K760199,HLZ,1
169,K760200,JWH,1
170,K760201,JAK,1
171,K760202,GAZ,1
172,K760203,GCD,1
173,K760204,HPX,1
174,K760205,KPR,1
175,K760206,DHN,1
176,K760207,CGN,1
177,K760208,KHG,1
178,K760209,DHN,1
179,K760210,FPY,1
180,K760211,JJC,1
181,K760212,KKX,1
182,K760213,HPX,1
183,K760215,ESD,1
184,K760216,GCX,1
185,K760217,GCX,1
186,K760218,CAT,1
187,K760219,BYG,1
188,K760220,BYX,1
189,K760221,CBO,1
190,K760222,CAK,1
191,K760225,ELW,1
192,K760226,ELW,1
193,K760227,CDX,1
194,K760228,BSZ,1
195,K760229,CHL,1
196,K760230,BYE,1
197,K760231,ELW,1
198,K760232,JJQ,1
199,K760233,JJQ,1
200,K760234,DQE,1
201,K760236,HTT,1
202,K760237,FYA,1
203,K760238,ELW,1
204,K760239,EMA,1
205,K760240,ELW,1
206,K760243,KGO,1
207,K760244,ESD,1
208,K760245,HRY,1
209,K760246,BXA,1
210,K760247,CFR,1
211,K760248,KGO,1
212,K760249,CAZ,1
213,K760250,FRO,1
214,K760251,LEY,1
215,K760252,FJI,1
216,K760253,GBM,1
217,K760254,GBM,1
218,K760255,JLW,1
219,K760256,CGR,1
220,K760257,GCY,1
221,K760258,JXL,1
222,K760259,KOD,1
223,K760260,KNX,1
224,K760261,KHO,1
225,K760262,CGN,1
226,K760263,CBO,1
227,K760264,HHK,1
228,K760265,DPS,1
229,K760266,DPS,1
230,K760268,DPS,1
231,K760271,DPS,1
232,K760272,DPS,1
233,K760273,FGK,1
234,K760274,FAJ,1
235,K760275,IOL,1
236,K760277,EYQ,1
237,K760278,KEW,1
238,K760279,KPX,1
239,K760280,DRX,1
240,K760281,ILC,1
241,K760282,ILC,1
242,K760283,ILC,1
243,K760284,ILC,1
244,K760285,ILC,1
