id,review_panel,medical_specialty,device_name,device_class,unclassified_reason_code,gmp_exempt_flag,third_party_review_eligible,third_party_review_code,regulation_number,submission_type,implant_flag,life_sustain_support_flag,summary_malfunction_reporting
BRT,HO,HO,"Restraint, Patient, Conductive",1,,0,0,,880.676,510(K) Exempt,0,0,1
BRW,AN,AN,"Protector, Dental",1,,0,0,,868.582,510(K) Exempt,0,0,1
BRX,AN,AN,"Stool, Anesthesia",1,,0,0,,868.67,510(K) Exempt,0,0,1
BRY,AN,AN,"Cabinet, Table And Tray, Anesthesia",1,,0,0,,868.61,510(K) Exempt,0,0,1
BRZ,HO,HO,"Set, Blood Transfusion",2,,0,1,,880.544,510(K),0,0,1
BSA,HE,HE,"Warmer, Blood, Electromagnetic Radiation",3,,0,0,,864.9205,PMA,0,0,1
BSB,HE,HE,"Warmer, Blood, Non-Electromagnetic Radiation",2,,0,0,,864.9205,510(K),0,0,1
BSD,AN,,"Analyzer, Gas, Nitrogen, Partial Pressure, Blood-Phase, Non-Indwelling",3,,0,0,,,PMA,0,0,1
BSE,AN,AN,"Analyzer, Gas, Helium, Gaseous-Phase",2,,0,1,,868.164,510(K),0,0,1
BSF,AN,AN,"Absorber, Carbon-Dioxide",1,,0,0,,868.531,510(K) Exempt,0,0,1
BSI,AN,AN,"Algesimeter, Powered",2,,0,0,,868.104,510(K) Exempt,0,0,1
BSJ,AN,AN,"Mask, Gas, Anesthetic",1,,0,0,,868.555,510(K) Exempt,0,0,1
BSK,AN,AN,"Cuff, Tracheal Tube, Inflatable",2,,0,1,,868.575,510(K),0,1,1
BSN,AN,AN,"Filter, Conduction, Anesthetic",2,,0,1,,868.513,510(K),0,0,1
BSO,AN,AN,"Catheter, Conduction, Anesthetic",2,,0,1,,868.512,510(K),0,0,1
BSP,AN,AN,"Needle, Conduction, Anesthetic (W/Wo Introducer)",2,,0,1,,868.515,510(K),0,0,1
BSR,AN,AN,"Stylet, Tracheal Tube",1,,0,0,,868.579,510(K) Exempt,0,0,1
BSS,GU,GU,"Tube, Nasogastric",2,,0,1,,876.598,510(K),0,0,1
BST,EN,EN,"Curette, Biopsy, Bronchoscope (Non-Rigid)",2,,0,1,,874.468,510(K),0,0,0
BSY,AN,AN,"Catheters, Suction, Tracheobronchial",1,,0,0,,868.681,510(K) Exempt,0,0,1
BSZ,AN,AN,"Gas-Machine, Anesthesia",2,,0,0,,868.516,510(K),0,1,0
BTA,SU,SU,"Pump, Portable, Aspiration (Manual Or Powered)",2,,0,1,,878.478,510(K),0,0,1
BTB,AN,AN,"Hook, Ether",1,,1,0,,868.542,510(K) Exempt,0,0,1
BTC,AN,AN,"Bag, Reservoir",1,,0,0,,868.532,510(K) Exempt,0,0,1
BTG,EN,EN,"Brush, Biopsy, Bronchoscope (Non-Rigid)",2,,0,1,,874.468,510(K),0,0,0
BTI,AN,AN,"Compressor, Air, Portable",2,,0,0,,868.625,510(K) Exempt,0,0,1
BTK,AN,AN,"Strap, Head, Gas Mask",1,,0,0,,868.556,510(K) Exempt,0,0,1
BTL,AN,AN,"Ventilator, Emergency, Powered (Resuscitator)",2,,0,0,,868.5925,510(K),0,1,1
BTM,AN,AN,"Ventilator, Emergency, Manual (Resuscitator)",2,,0,1,,868.5915,510(K),0,1,1
BTO,AN,AN,"Tube, Tracheostomy (W/Wo Connector)",2,,0,1,,868.58,510(K),0,1,1
BTP,AN,AN,"Dropper, Ether",1,,1,0,,868.542,510(K) Exempt,0,0,1
BTQ,AN,AN,"Airway, Nasopharyngeal",1,,0,0,,868.51,510(K) Exempt,0,0,1
BTR,AN,AN,"Tube, Tracheal (W/Wo Connector)",2,,0,0,,868.573,510(K),0,1,1
BTS,AN,AN,"Tube, Bronchial (W/Wo Connector)",2,,0,0,,868.572,510(K),0,1,1
BTT,AN,AN,"Humidifier, Respiratory Gas, (Direct Patient Interface)",2,,0,0,,868.545,510(K),0,0,1
BTX,SU,SU,"Board, Arm (With Cover), Sterile",1,,0,0,,878.391,510(K) Exempt,0,0,1
BTY,AN,AN,"Calculator, Predicted Values, Pulmonary Function",2,,0,1,,868.189,510(K),0,0,1
BWA,SU,SU,"Unit, Electrosurgical And Coagulation, With Accessories",2,,0,1,,878.44,510(K),0,0,1
BWB,AN,AN,"Forceps, Tube Introduction",1,,0,0,,868.578,510(K) Exempt,0,0,1
BWC,AN,AN,"Needle, Emergency Airway",2,,0,1,,868.509,510(K),0,1,1
BWF,AN,AN,"Spirometer, Therapeutic (Incentive)",2,,0,1,,868.569,510(K),0,0,1
BWH,EN,EN,"Forceps, Biopsy, Bronchoscope (Non-Rigid)",2,,0,1,,874.468,510(K),0,0,0
BWJ,HO,HO,"Locator, Acupuncture Point",2,,0,0,,880.558,510(K) Exempt,0,0,1
BWK,NE,,"Stimulator, Electro-Acupuncture",Unclassified,Pre-Amendment,0,0,,,510(K),0,0,1
BWL,AN,AN,"Apparatus, Electronanesthesia",3,,0,0,,868.54,PMA,0,0,1
BWN,SU,SU,"Table And Attachments, Operating-Room",1,,0,0,,878.495,510(K) Exempt,0,0,1
BWP,SU,SU,"Shoe And Shoe Cover, Conductive",1,,0,0,,878.404,510(K) Exempt,0,0,1
BXA,AN,AN,"Analyzer, Gas, Water Vapor, Gaseous-Phase",1,,0,0,,868.1975,510(K) Exempt,0,0,1
BXB,PM,PM,"Exerciser, Powered",1,,0,0,,890.538,510(K) Exempt,0,0,1
BXH,AN,AN,"Gauge, Gas Pressure, Cylinder/Pipeline",1,,0,0,,868.261,510(K) Exempt,0,0,1
BXJ,AN,AN,"Clip, Nose",1,,1,0,,868.6225,510(K) Exempt,0,0,1
BXK,AN,AN,"Gas, Calibration (Specified Concentration)",1,,0,0,,868.64,510(K) Exempt,0,0,1
BXL,AN,AN,"Algesimeter, Manual",1,,1,0,,868.103,510(K) Exempt,0,0,1
BXM,AN,AN,"Stimulator, Nerve, Ac-Powered",2,,0,1,,868.2775,510(K),0,0,1
BXN,AN,AN,"Stimulator, Nerve, Battery-Powered",2,,0,1,,868.2775,510(K),0,0,1
BXO,AN,AN,"Transducer, Gas Pressure",1,,0,0,,868.29,510(K) Exempt,0,0,1
BXP,AN,AN,"Transducer, Gas Flow",1,,0,0,,868.2885,510(K) Exempt,0,0,1
BXQ,AN,AN,Rhinoanemometer (Measurement Of Nasal Decongestion),2,,0,1,,868.18,510(K),0,0,1
BXR,AN,AN,"Meter, Airway Pressure (Inspiratory Force)",2,,0,1,,868.178,510(K),0,0,1
BXW,AN,AN,"Calibrator, Volume, Gas",1,,0,0,,868.187,510(K) Exempt,0,0,1
BXX,AN,AN,"Calibrator, Pressure, Gas",1,,0,0,,868.262,510(K) Exempt,0,0,1
BXY,AN,AN,"Flowmeter, Calibration, Gas",1,,0,0,,868.235,510(K) Exempt,0,0,1
BYD,AN,AN,"Condenser, Heat And Moisture (Artificial Nose)",1,,0,0,,868.5375,510(K) Exempt,0,0,1
BYE,AN,AN,"Attachment, Breathing, Positive End Expiratory Pressure",2,,0,0,,868.5965,510(K),0,1,1
BYF,AN,AN,"Mask, Oxygen, Low Concentration, Venturi",1,,0,0,,868.56,510(K) Exempt,0,0,1
BYG,AN,AN,"Mask, Oxygen",1,,0,0,,868.558,510(K) Exempt,0,0,1
BYH,AN,AN,"Drain, Tee (Water Trap)",1,,0,0,,868.5995,510(K) Exempt,0,0,1
BYI,AN,AN,"Percussor, Powered-Electric",2,,0,1,,868.5665,510(K),0,0,1
BYJ,AN,AN,"Unit, Liquid-Oxygen, Portable",2,,0,1,,868.5655,510(K),0,0,1
BYK,AN,AN,"Tent, Oxygen, Electrically Powered",2,,0,0,,868.571,510(K),0,1,1
BYL,AN,AN,"Tent, Oxygen",1,,0,0,,868.57,510(K) Exempt,0,0,1
BYM,AN,AN,"Tube, Thorpe, Uncompensated",1,,0,0,,868.232,510(K) Exempt,0,0,1
BYN,AN,AN,"Chair, Posture, For Cardiac And Pulmonary Treatment",1,,0,0,,868.5365,510(K) Exempt,0,0,1
BYO,AN,AN,"Bottle, Blow",1,,1,0,,868.522,510(K) Exempt,0,0,1
BYP,AN,AN,"Mouthpiece, Breathing",1,,0,0,,868.562,510(K) Exempt,0,0,1
BYR,AN,AN,"Transducer, Gas Pressure, Differential",1,,0,0,,868.2875,510(K) Exempt,0,0,1
BYS,CV,CV,"Oxygenator, Long Term Support Greater Than 6 Hours",2,,0,0,,870.41,510(K),0,1,1
BYT,AN,AN,"Ventilator, External Body, Negative Pressure, Adult (Cuirass)",2,,0,0,,868.5935,510(K),0,1,1
BYW,AN,AN,"Device, Rebreathing",1,,0,0,,868.5675,510(K) Exempt,0,0,1
BYX,AN,AN,"Tubing, Pressure And Accessories",1,,0,0,,868.586,510(K) Exempt,0,0,1
BYY,HO,HO,"Tube, Aspirating, Flexible, Connecting",2,,0,0,,880.674,510(K) Exempt,0,0,1
BYZ,HO,HO,"Trap, Sterile Specimen",2,,0,0,,880.674,510(K) Exempt,0,0,1
BZA,AN,AN,"Connector, Airway (Extension)",1,,0,0,,868.581,510(K) Exempt,0,0,1
BZB,AN,AN,"Catheter, Nasal, Oxygen",1,,0,0,,868.535,510(K) Exempt,0,0,1
BZC,AN,AN,"Calculator, Pulmonary Function Data",2,,0,1,,868.188,510(K),0,0,1
BZD,AN,AN,"Ventilator, Non-Continuous (Respirator)",2,,0,0,,868.5905,510(K),0,0,1
BZE,AN,AN,"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",2,,0,1,,868.527,510(K),0,0,1
BZG,AN,AN,"Spirometer, Diagnostic",2,,0,1,,868.184,510(K),0,0,1
BZH,AN,AN,"Meter, Peak Flow, Spirometry",2,,0,1,,868.186,510(K),0,0,1
BZK,AN,AN,"Spirometer, Monitoring (W/Wo Alarm)",2,,0,1,,868.185,510(K),0,0,1
BZL,AN,AN,"Computer, Oxygen-Uptake",2,,0,1,,868.173,510(K),0,0,1
